Stimulus,direction,number,format,Stimulus_Practice,Direction,Number,Background,Format,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
ahead_word_1_WHI.jpg,ahead,1,word,,,,,,0,8,8,8,,,,,,,,,,,,,d,0.8181805606,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
ahead_word_2_WHI.jpg,ahead,2,word,,,,,,0,9,9,9,,,,,,,,,,,,,d,0.517961370409,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
left_word_1_WHI.jpg,left,1,word,,,,,,0,10,10,10,,,,,,,,,,,,,d,0.634428927326,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
left_word_2_WHI.jpg,left,2,word,,,,,,0,11,11,11,,,,,,,,,,,,,d,0.534443920827,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
right_image_1_WHI.jpg,right,1,image,,,,,,0,12,12,12,,,,,,,,,,,,,d,46.1332223103,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
right_image_2_WHI.jpg,right,2,image,,,,,,0,13,13,13,,,,,,,,,,,,,d,0.773336260696,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
ahead_image_1_WHI.jpg,ahead,1,image,,,,,,0,14,14,14,,,,,,,,,,,,,d,0.51782794646,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
ahead_image_2_WHI.jpg,ahead,2,image,,,,,,0,15,15,15,,,,,,,,,,,,,d,0.63464222732,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
left_image_1_WHI.jpg,left,1,image,,,,,,0,16,16,16,,,,,,,,,,,,,d,0.373817033251,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
left_image_2_WHI.jpg,left,2,image,,,,,,0,17,17,17,,,,,,,,,,,,,d,0.451198495575,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
,,,,left_image_1_WHI.jpg,left,1,_WHI,image,,,,,0,0,0,0,0,0,0,0,,,,,,,d,0.300839455682,f,34.7834613133,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,0,0,0,0,0,1,1,1,,,,,,,,,a,1.03415342246,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
,,,,right_image_3_WHI.jpg,right,3,_WHI,image,,,,,0,0,0,0,0,2,2,2,,,,,,,,,f,8.28038363648,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
,,,,right_image_2_WHI.jpg,right,2,_WHI,image,,,,,0,0,0,0,0,3,3,3,,,,,,,,,f,1.22294437781,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
,,,,left_image_3_WHI.jpg,left,3,_WHI,image,,,,,0,0,0,0,0,4,4,4,,,,,,,,,f,2.54992958426,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
,,,,left_image_2_WHI.jpg,left,2,_WHI,image,,,,,0,0,0,0,0,5,5,5,,,,,,,,,f,1.43919747474,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
