0.4236 	INFO 	Loaded SoundDevice with PortAudio V19.6.0-devel, revision 396fe4b6699ae929d3a685b3ef8a7e97396139a4
183.3481 	EXP 	Created text_same_practice = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same_practice', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([0., 0., 0.]), text='', units='norm', win=Window(...), wrapWidth=1)
183.3530 	EXP 	Created fixation_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='+', units='norm', win=Window(...), wrapWidth=1)
183.3678 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Ready for next set?', units='norm', win=Window(...), wrapWidth=1)
183.3684 	EXP 	Created text_11 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([ 0. , -0.6]), rgb=array([0., 0., 0.]), text='', units='norm', win=Window(...), wrapWidth=1)
183.3704 	EXP 	Created image_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.67, 0.67]), texRes=128, units='height', win=Window(...))
183.3710 	EXP 	Created text_same_practice_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same_practice_2', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([0., 0., 0.]), text='', units='norm', win=Window(...), wrapWidth=1)
183.3736 	EXP 	Created fixation_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='+', units='norm', win=Window(...), wrapWidth=1)
183.3860 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Ready for next set?', units='norm', win=Window(...), wrapWidth=1)
183.3866 	EXP 	Created text_12 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_12', opacity=1.0, ori=0, pos=array([ 0. , -0.6]), rgb=array([0., 0., 0.]), text='', units='norm', win=Window(...), wrapWidth=1)
183.3888 	EXP 	Created image_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.67, 0.67]), texRes=128, units='height', win=Window(...))
183.3894 	EXP 	Created text_same_practice_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same_practice_3', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([0., 0., 0.]), text='', units='norm', win=Window(...), wrapWidth=1)
183.3919 	EXP 	Created fixation_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_3', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='+', units='norm', win=Window(...), wrapWidth=1)
183.4488 	EXP 	Created text_10 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_10', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
183.4510 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.67, 0.67]), texRes=128, units='height', win=Window(...))
183.4753 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Ready for the next set?', units='norm', win=Window(...), wrapWidth=1)
183.4759 	EXP 	Created text_same = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([0., 0., 0.]), text='', units='norm', win=Window(...), wrapWidth=1)
183.4784 	EXP 	Created fixation_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_4', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='+', units='norm', win=Window(...), wrapWidth=1)
183.4986 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
183.5155 	EXP 	text_4: autoDraw = True
185.3687 	DATA 	Keypress: space
189.1496 	DATA 	Keypress: d
189.1504 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
189.1509 	EXP 	New trial (rep=0, index=0): None
189.5845 	EXP 	text_4: autoDraw = False
189.5845 	EXP 	text_6: text = "Let's try a few for practice. You'll see pairs of images with one image on the screen at a time. Each image will be a spatial direction: LEFT or RIGHT or AHEAD. Tell me if the two images on the screen are the SAME spatial direction, or DIFFERENT spatial directions. For the first image, just say 'GO.' Then when it says 'Same/Different?' underneath, tell me whether you see the same spatial direction or a different spatial direction as the first image [Experimenter: Press Green for SAME, Red for DIFFERENT]"
189.5845 	EXP 	text_6: autoDraw = True
190.6305 	DATA 	Keypress: d
190.6853 	DEBUG 	Read excel file with pandas: Extra_Stimuli//practice_order_WHI_image_1.xlsx
190.6867 	DEBUG 	Clearing unnamed columns from Extra_Stimuli//practice_order_WHI_image_1.xlsx
190.6874 	EXP 	Imported Extra_Stimuli//practice_order_WHI_image_1.xlsx as conditions, 8 conditions, 5 params
190.6876 	EXP 	Created sequence: sequential, trialTypes=8, nReps=1, seed=None
190.6880 	EXP 	New trial (rep=0, index=0): OrderedDict([('Stimulus_Practice', 'ahead_image_1_WHI.jpg'), ('Format', 'image'), ('Direction', 'ahead'), ('Number', 1), ('Background', '_WHI')])
190.7320 	EXP 	text_6: autoDraw = False
190.7320 	EXP 	image: image = 'Extra_Stimuli//ahead_image_1_WHI.jpg'
190.7320 	EXP 	text_same_practice: text = ''
190.7320 	EXP 	text_9: autoDraw = True
190.7320 	EXP 	image: autoDraw = True
190.7320 	EXP 	text_same_practice: autoDraw = True
191.3779 	DATA 	Keypress: f
191.3787 	EXP 	New trial (rep=0, index=1): OrderedDict([('Stimulus_Practice', 'ahead_image_2_WHI.jpg'), ('Format', 'image'), ('Direction', 'ahead'), ('Number', 2), ('Background', '_WHI')])
191.4371 	EXP 	text_9: autoDraw = False
191.4371 	EXP 	image: autoDraw = False
191.4371 	EXP 	text_same_practice: autoDraw = False
191.4371 	EXP 	fixation_1: autoDraw = False
191.4371 	EXP 	image: image = 'Extra_Stimuli//ahead_image_2_WHI.jpg'
191.4371 	EXP 	text_same_practice: text = 'SAME / DIFFERENT?'
191.4371 	EXP 	text_9: autoDraw = True
191.4371 	EXP 	image: autoDraw = True
191.4371 	EXP 	text_same_practice: autoDraw = True
191.8526 	DATA 	Keypress: a
191.8746 	EXP 	text_9: autoDraw = False
191.8746 	EXP 	image: autoDraw = False
191.8746 	EXP 	text_same_practice: autoDraw = False
191.8746 	EXP 	fixation_1: autoDraw = True
192.4637 	DATA 	Keypress: f
192.7746 	DATA 	Keypress: d
192.8754 	EXP 	New trial (rep=0, index=2): OrderedDict([('Stimulus_Practice', 'left_image_1_WHI.jpg'), ('Format', 'image'), ('Direction', 'left'), ('Number', 1), ('Background', '_WHI')])
192.9193 	EXP 	fixation_1: autoDraw = False
192.9193 	EXP 	image: image = 'Extra_Stimuli//left_image_1_WHI.jpg'
192.9193 	EXP 	text_same_practice: text = ''
192.9193 	EXP 	text_9: autoDraw = True
192.9193 	EXP 	image: autoDraw = True
192.9193 	EXP 	text_same_practice: autoDraw = True
193.2582 	DATA 	Keypress: f
193.2588 	EXP 	New trial (rep=0, index=3): OrderedDict([('Stimulus_Practice', 'right_image_1_WHI.jpg'), ('Format', 'image'), ('Direction', 'right'), ('Number', 1), ('Background', '_WHI')])
193.3181 	EXP 	text_9: autoDraw = False
193.3181 	EXP 	image: autoDraw = False
193.3181 	EXP 	text_same_practice: autoDraw = False
193.3181 	EXP 	fixation_1: autoDraw = False
193.3181 	EXP 	image: image = 'Extra_Stimuli//right_image_1_WHI.jpg'
193.3181 	EXP 	text_same_practice: text = 'SAME / DIFFERENT?'
193.3181 	EXP 	text_9: autoDraw = True
193.3181 	EXP 	image: autoDraw = True
193.3181 	EXP 	text_same_practice: autoDraw = True
193.5747 	DATA 	Keypress: a
193.5937 	EXP 	text_9: autoDraw = False
193.5937 	EXP 	image: autoDraw = False
193.5937 	EXP 	text_same_practice: autoDraw = False
193.5937 	EXP 	fixation_1: autoDraw = True
194.2609 	DATA 	Keypress: d
194.5847 	EXP 	New trial (rep=0, index=4): OrderedDict([('Stimulus_Practice', 'right_image_2_WHI.jpg'), ('Format', 'image'), ('Direction', 'right'), ('Number', 2), ('Background', '_WHI')])
194.6291 	EXP 	fixation_1: autoDraw = False
194.6291 	EXP 	image: image = 'Extra_Stimuli//right_image_2_WHI.jpg'
194.6291 	EXP 	text_same_practice: text = ''
194.6291 	EXP 	text_9: autoDraw = True
194.6291 	EXP 	image: autoDraw = True
194.6291 	EXP 	text_same_practice: autoDraw = True
194.9609 	DATA 	Keypress: f
194.9616 	EXP 	New trial (rep=0, index=5): OrderedDict([('Stimulus_Practice', 'left_image_2_WHI.jpg'), ('Format', 'image'), ('Direction', 'left'), ('Number', 2), ('Background', '_WHI')])
195.0254 	EXP 	text_9: autoDraw = False
195.0254 	EXP 	image: autoDraw = False
195.0254 	EXP 	text_same_practice: autoDraw = False
195.0254 	EXP 	fixation_1: autoDraw = False
195.0254 	EXP 	image: image = 'Extra_Stimuli//left_image_2_WHI.jpg'
195.0254 	EXP 	text_same_practice: text = 'SAME / DIFFERENT?'
195.0254 	EXP 	text_9: autoDraw = True
195.0254 	EXP 	image: autoDraw = True
195.0254 	EXP 	text_same_practice: autoDraw = True
195.1786 	DATA 	Keypress: a
195.1986 	EXP 	text_9: autoDraw = False
195.1986 	EXP 	image: autoDraw = False
195.1986 	EXP 	text_same_practice: autoDraw = False
195.1986 	EXP 	fixation_1: autoDraw = True
195.8484 	DATA 	Keypress: d
196.1937 	EXP 	New trial (rep=0, index=6): OrderedDict([('Stimulus_Practice', 'left_image_3_WHI.jpg'), ('Format', 'image'), ('Direction', 'left'), ('Number', 3), ('Background', '_WHI')])
196.2384 	EXP 	fixation_1: autoDraw = False
196.2384 	EXP 	image: image = 'Extra_Stimuli//left_image_3_WHI.jpg'
196.2384 	EXP 	text_same_practice: text = ''
196.2384 	EXP 	text_9: autoDraw = True
196.2384 	EXP 	image: autoDraw = True
196.2384 	EXP 	text_same_practice: autoDraw = True
196.7159 	DATA 	Keypress: f
196.7167 	EXP 	New trial (rep=0, index=7): OrderedDict([('Stimulus_Practice', 'ahead_image_3_WHI.jpg'), ('Format', 'image'), ('Direction', 'ahead'), ('Number', 3), ('Background', '_WHI')])
196.7740 	EXP 	text_9: autoDraw = False
196.7740 	EXP 	image: autoDraw = False
196.7740 	EXP 	text_same_practice: autoDraw = False
196.7740 	EXP 	fixation_1: autoDraw = False
196.7740 	EXP 	image: image = 'Extra_Stimuli//ahead_image_3_WHI.jpg'
196.7740 	EXP 	text_same_practice: text = 'SAME / DIFFERENT?'
196.7740 	EXP 	text_9: autoDraw = True
196.7740 	EXP 	image: autoDraw = True
196.7740 	EXP 	text_same_practice: autoDraw = True
196.8855 	DATA 	Keypress: a
196.9081 	EXP 	text_9: autoDraw = False
196.9081 	EXP 	image: autoDraw = False
196.9081 	EXP 	text_same_practice: autoDraw = False
196.9081 	EXP 	fixation_1: autoDraw = True
197.9336 	EXP 	fixation_1: autoDraw = False
197.9336 	EXP 	text_2: autoDraw = True
198.3753 	DATA 	Keypress: f
198.9517 	DATA 	Keypress: d
198.9591 	DEBUG 	Read excel file with pandas: Extra_Stimuli//practice_order_WHI_word_2.xlsx
198.9600 	DEBUG 	Clearing unnamed columns from Extra_Stimuli//practice_order_WHI_word_2.xlsx
198.9607 	EXP 	Imported Extra_Stimuli//practice_order_WHI_word_2.xlsx as conditions, 8 conditions, 5 params
198.9610 	EXP 	Created sequence: sequential, trialTypes=8, nReps=1, seed=None
198.9613 	EXP 	New trial (rep=0, index=0): OrderedDict([('Stimulus_Practice', 'ahead_word_2_WHI.jpg'), ('Format', 'word'), ('Direction', 'ahead'), ('Number', 2), ('Background', '_WHI')])
198.9962 	EXP 	text_2: autoDraw = False
198.9962 	EXP 	image_3: image = 'Extra_Stimuli//ahead_word_2_WHI.jpg'
198.9962 	EXP 	text_same_practice_2: text = ''
198.9962 	EXP 	text_11: autoDraw = True
198.9962 	EXP 	image_3: autoDraw = True
198.9962 	EXP 	text_same_practice_2: autoDraw = True
199.5841 	DATA 	Keypress: f
199.5849 	EXP 	New trial (rep=0, index=1): OrderedDict([('Stimulus_Practice', 'left_word_3_WHI.jpg'), ('Format', 'word'), ('Direction', 'left'), ('Number', 3), ('Background', '_WHI')])
199.6312 	EXP 	text_11: autoDraw = False
199.6312 	EXP 	image_3: autoDraw = False
199.6312 	EXP 	text_same_practice_2: autoDraw = False
199.6312 	EXP 	fixation_2: autoDraw = False
199.6312 	EXP 	image_3: image = 'Extra_Stimuli//left_word_3_WHI.jpg'
199.6312 	EXP 	text_same_practice_2: text = 'SAME / DIFFERENT?'
199.6312 	EXP 	text_11: autoDraw = True
199.6312 	EXP 	image_3: autoDraw = True
199.6312 	EXP 	text_same_practice_2: autoDraw = True
200.0652 	DATA 	Keypress: a
200.0846 	EXP 	text_11: autoDraw = False
200.0846 	EXP 	image_3: autoDraw = False
200.0846 	EXP 	text_same_practice_2: autoDraw = False
200.0846 	EXP 	fixation_2: autoDraw = True
201.0742 	EXP 	New trial (rep=0, index=2): OrderedDict([('Stimulus_Practice', 'right_word_3_WHI.jpg'), ('Format', 'word'), ('Direction', 'right'), ('Number', 3), ('Background', '_WHI')])
201.1094 	EXP 	fixation_2: autoDraw = False
201.1094 	EXP 	image_3: image = 'Extra_Stimuli//right_word_3_WHI.jpg'
201.1094 	EXP 	text_same_practice_2: text = ''
201.1094 	EXP 	text_11: autoDraw = True
201.1094 	EXP 	image_3: autoDraw = True
201.1094 	EXP 	text_same_practice_2: autoDraw = True
201.8144 	DATA 	Keypress: f
201.8150 	EXP 	New trial (rep=0, index=3): OrderedDict([('Stimulus_Practice', 'right_word_1_WHI.jpg'), ('Format', 'word'), ('Direction', 'right'), ('Number', 1), ('Background', '_WHI')])
201.8617 	EXP 	text_11: autoDraw = False
201.8617 	EXP 	image_3: autoDraw = False
201.8617 	EXP 	text_same_practice_2: autoDraw = False
201.8617 	EXP 	fixation_2: autoDraw = False
201.8617 	EXP 	image_3: image = 'Extra_Stimuli//right_word_1_WHI.jpg'
201.8617 	EXP 	text_same_practice_2: text = 'SAME / DIFFERENT?'
201.8617 	EXP 	text_11: autoDraw = True
201.8617 	EXP 	image_3: autoDraw = True
201.8617 	EXP 	text_same_practice_2: autoDraw = True
201.9964 	DATA 	Keypress: f
202.0153 	EXP 	text_11: autoDraw = False
202.0153 	EXP 	image_3: autoDraw = False
202.0153 	EXP 	text_same_practice_2: autoDraw = False
202.0153 	EXP 	fixation_2: autoDraw = True
203.0083 	EXP 	New trial (rep=0, index=4): OrderedDict([('Stimulus_Practice', 'ahead_word_1_WHI.jpg'), ('Format', 'word'), ('Direction', 'ahead'), ('Number', 1), ('Background', '_WHI')])
203.0431 	EXP 	fixation_2: autoDraw = False
203.0431 	EXP 	image_3: image = 'Extra_Stimuli//ahead_word_1_WHI.jpg'
203.0431 	EXP 	text_same_practice_2: text = ''
203.0431 	EXP 	text_11: autoDraw = True
203.0431 	EXP 	image_3: autoDraw = True
203.0431 	EXP 	text_same_practice_2: autoDraw = True
203.6472 	DATA 	Keypress: f
203.6479 	EXP 	New trial (rep=0, index=5): OrderedDict([('Stimulus_Practice', 'ahead_word_3_WHI.jpg'), ('Format', 'word'), ('Direction', 'ahead'), ('Number', 3), ('Background', '_WHI')])
203.6931 	EXP 	text_11: autoDraw = False
203.6931 	EXP 	image_3: autoDraw = False
203.6931 	EXP 	text_same_practice_2: autoDraw = False
203.6931 	EXP 	fixation_2: autoDraw = False
203.6931 	EXP 	image_3: image = 'Extra_Stimuli//ahead_word_3_WHI.jpg'
203.6931 	EXP 	text_same_practice_2: text = 'SAME / DIFFERENT?'
203.6931 	EXP 	text_11: autoDraw = True
203.6931 	EXP 	image_3: autoDraw = True
203.6931 	EXP 	text_same_practice_2: autoDraw = True
203.8147 	DATA 	Keypress: f
203.8339 	EXP 	text_11: autoDraw = False
203.8339 	EXP 	image_3: autoDraw = False
203.8339 	EXP 	text_same_practice_2: autoDraw = False
203.8339 	EXP 	fixation_2: autoDraw = True
204.8248 	EXP 	New trial (rep=0, index=6): OrderedDict([('Stimulus_Practice', 'left_word_1_WHI.jpg'), ('Format', 'word'), ('Direction', 'left'), ('Number', 1), ('Background', '_WHI')])
204.8623 	EXP 	fixation_2: autoDraw = False
204.8623 	EXP 	image_3: image = 'Extra_Stimuli//left_word_1_WHI.jpg'
204.8623 	EXP 	text_same_practice_2: text = ''
204.8623 	EXP 	text_11: autoDraw = True
204.8623 	EXP 	image_3: autoDraw = True
204.8623 	EXP 	text_same_practice_2: autoDraw = True
205.3492 	DATA 	Keypress: f
205.3498 	EXP 	New trial (rep=0, index=7): OrderedDict([('Stimulus_Practice', 'left_word_2_WHI.jpg'), ('Format', 'word'), ('Direction', 'left'), ('Number', 2), ('Background', '_WHI')])
205.3965 	EXP 	text_11: autoDraw = False
205.3965 	EXP 	image_3: autoDraw = False
205.3965 	EXP 	text_same_practice_2: autoDraw = False
205.3965 	EXP 	fixation_2: autoDraw = False
205.3965 	EXP 	image_3: image = 'Extra_Stimuli//left_word_2_WHI.jpg'
205.3965 	EXP 	text_same_practice_2: text = 'SAME / DIFFERENT?'
205.3965 	EXP 	text_11: autoDraw = True
205.3965 	EXP 	image_3: autoDraw = True
205.3965 	EXP 	text_same_practice_2: autoDraw = True
205.4938 	DATA 	Keypress: f
205.5127 	EXP 	text_11: autoDraw = False
205.5127 	EXP 	image_3: autoDraw = False
205.5127 	EXP 	text_same_practice_2: autoDraw = False
205.5127 	EXP 	fixation_2: autoDraw = True
206.5479 	EXP 	fixation_2: autoDraw = False
206.5479 	EXP 	text_2: autoDraw = True
207.5084 	DATA 	Keypress: d
207.5150 	DEBUG 	Read excel file with pandas: Extra_Stimuli//practice_order_WHI_schema_1.xlsx
207.5163 	DEBUG 	Clearing unnamed columns from Extra_Stimuli//practice_order_WHI_schema_1.xlsx
207.5180 	EXP 	Imported Extra_Stimuli//practice_order_WHI_schema_1.xlsx as conditions, 8 conditions, 5 params
207.5188 	EXP 	Created sequence: sequential, trialTypes=8, nReps=1, seed=None
207.5198 	EXP 	New trial (rep=0, index=0): OrderedDict([('Stimulus_Practice', 'ahead_schema_2_WHI.jpg'), ('Format', 'schema'), ('Direction', 'ahead'), ('Number', 2), ('Background', '_WHI')])
207.5528 	EXP 	text_2: autoDraw = False
207.5528 	EXP 	image_4: image = 'Extra_Stimuli//ahead_schema_2_WHI.jpg'
207.5528 	EXP 	text_same_practice_3: text = ''
207.5528 	EXP 	text_12: autoDraw = True
207.5528 	EXP 	image_4: autoDraw = True
207.5528 	EXP 	text_same_practice_3: autoDraw = True
207.9308 	DATA 	Keypress: f
207.9315 	EXP 	New trial (rep=0, index=1): OrderedDict([('Stimulus_Practice', 'right_schema_1_WHI.jpg'), ('Format', 'schema'), ('Direction', 'right'), ('Number', 1), ('Background', '_WHI')])
207.9770 	EXP 	text_12: autoDraw = False
207.9770 	EXP 	image_4: autoDraw = False
207.9770 	EXP 	text_same_practice_3: autoDraw = False
207.9770 	EXP 	fixation_3: autoDraw = False
207.9770 	EXP 	image_4: image = 'Extra_Stimuli//right_schema_1_WHI.jpg'
207.9770 	EXP 	text_same_practice_3: text = 'SAME / DIFFERENT?'
207.9770 	EXP 	text_12: autoDraw = True
207.9770 	EXP 	image_4: autoDraw = True
207.9770 	EXP 	text_same_practice_3: autoDraw = True
208.0785 	DATA 	Keypress: f
208.0982 	EXP 	text_12: autoDraw = False
208.0982 	EXP 	image_4: autoDraw = False
208.0982 	EXP 	text_same_practice_3: autoDraw = False
208.0982 	EXP 	fixation_3: autoDraw = True
209.0826 	EXP 	New trial (rep=0, index=2): OrderedDict([('Stimulus_Practice', 'left_schema_2_WHI.jpg'), ('Format', 'schema'), ('Direction', 'left'), ('Number', 2), ('Background', '_WHI')])
209.1228 	EXP 	fixation_3: autoDraw = False
209.1228 	EXP 	image_4: image = 'Extra_Stimuli//left_schema_2_WHI.jpg'
